zip,city,state,country,timezone,latitude,longitude
01703,Framingham,MA,"United States",America/New_York,42.446396,-71.459405
01704,Framingham,MA,"United States",America/New_York,42.446396,-71.459405
01705,Framingham,MA,"United States",America/New_York,42.446396,-71.459405
01718,"Village of Nagog Woods",MA,"United States",America/New_York,42.519739,-71.42721
01719,Boxboro,MA,"United States",America/New_York,42.486259,-71.51244
01720,Acton,MA,"United States",America/New_York,42.477142,-71.4422
01721,Ashland,MA,"United States",America/New_York,42.257956,-71.45886
01730,Bedford,MA,"United States",America/New_York,42.496679,-71.27504
01731,,MA,"United States",America/New_York,42.459085,-71.27556
01740,Bolton,MA,"United States",America/New_York,42.437086,-71.61266
01741,Carlisle,MA,"United States",America/New_York,42.5286,-71.35084
01742,Concord,MA,"United States",America/New_York,42.457201,-71.37478
01745,Fayville,MA,"United States",America/New_York,42.295544,-71.50468
01746,Holliston,MA,"United States",America/New_York,42.196065,-71.43797
01747,Hopedale,MA,"United States",America/New_York,42.125536,-71.53662
01748,Hopkinton,MA,"United States",America/New_York,42.220447,-71.53418
01749,Hudson,MA,"United States",America/New_York,42.389813,-71.55791
01752,Marlborough,MA,"United States",America/New_York,42.350909,-71.54753
01754,Maynard,MA,"United States",America/New_York,42.430781,-71.45594
01756,Mendon,MA,"United States",America/New_York,42.092006,-71.54474
01757,Milford,MA,"United States",America/New_York,42.149176,-71.52149
01760,Natick,MA,"United States",America/New_York,42.290763,-71.35368
01770,Sherborn,MA,"United States",America/New_York,42.231025,-71.37202
01772,Southborough,MA,"United States",America/New_York,42.297643,-71.53369
01773,Lincoln,MA,"United States",America/New_York,42.425537,-71.30316
01775,Stow,MA,"United States",America/New_York,42.423882,-71.51086
01776,Sudbury,MA,"United States",America/New_York,42.38532,-71.42989
01778,Wayland,MA,"United States",America/New_York,42.345583,-71.35643
01784,Woodville,MA,"United States",America/New_York,42.446396,-71.459405
01801,Woburn,MA,"United States",America/New_York,42.484545,-71.15206
01803,Burlington,MA,"United States",America/New_York,42.506362,-71.20008
01805,Burlington,MA,"United States",America/New_York,42.446396,-71.459405
01806,Woburn,MA,"United States",America/New_York,42.446396,-71.459405
01807,Woburn,MA,"United States",America/New_York,42.446396,-71.459405
01808,Woburn,MA,"United States",America/New_York,42.446396,-71.459405
01810,Andover,MA,"United States",America/New_York,42.646942,-71.1513
01812,Andover,MA,"United States",America/New_York,42.647191,-71.184202
01813,Woburn,MA,"United States",America/New_York,42.446396,-71.459405
01815,Woburn,MA,"United States",America/New_York,42.446396,-71.459405
01821,Billerica,MA,"United States",America/New_York,42.54805,-71.25054
01822,Billerica,MA,"United States",America/New_York,42.446396,-71.459405
01824,Chelmsford,MA,"United States",America/New_York,42.595491,-71.3544
01826,Dracut,MA,"United States",America/New_York,42.677772,-71.316
01827,Dunstable,MA,"United States",America/New_York,42.671356,-71.50292
01830,Haverhill,MA,"United States",America/New_York,42.78519,-71.07011
01831,Haverhill,MA,"United States",America/New_York,42.771095,-71.122054
01832,Haverhill,MA,"United States",America/New_York,42.781357,-71.11023
01833,Georgetown,MA,"United States",America/New_York,42.729437,-70.98291
01834,Groveland,MA,"United States",America/New_York,42.750691,-71.02487
01835,Haverhill,MA,"United States",America/New_York,42.757767,-71.08518
01840,Lawrence,MA,"United States",America/New_York,42.706941,-71.16181
01841,Lawrence,MA,"United States",America/New_York,42.71159,-71.16667
01842,Lawrence,MA,"United States",America/New_York,42.635443,-70.879123
01843,Lawrence,MA,"United States",America/New_York,42.691091,-71.16078
